Total_Registered,Democratic,Republican,American_Independent,Green,Libertarian,Natural_Law,Reform,Miscellaneous,Declined_to_State,county,district,district_type,date
137391.0,57988.0,48768.0,2639.0,769.0,755.0,106.0,406.0,1175.0,24785.0,Alameda,County Supervisorial 1,County Supervisorial,2001-10-02
106508.0,59615.0,22762.0,1996.0,613.0,531.0,244.0,326.0,1244.0,19177.0,Alameda,County Supervisorial 2,County Supervisorial,2001-10-02
128553.0,74825.0,22452.0,2261.0,2233.0,628.0,426.0,279.0,1838.0,23611.0,Alameda,County Supervisorial 3,County Supervisorial,2001-10-02
130502.0,81770.0,23773.0,2049.0,1506.0,533.0,826.0,368.0,1568.0,18109.0,Alameda,County Supervisorial 4,County Supervisorial,2001-10-02
165351.0,103547.0,15649.0,1957.0,9098.0,1011.0,723.0,284.0,2994.0,30088.0,Alameda,County Supervisorial 5,County Supervisorial,2001-10-02
325190.0,206219.0,37957.0,4496.0,11737.0,1662.0,1812.0,673.0,5386.0,55248.0,Alameda,US Congressional 9,US Congressional,2001-10-02
38636.0,14938.0,15700.0,896.0,207.0,217.0,23.0,114.0,288.0,6253.0,Alameda,US Congressional 10,US Congressional,2001-10-02
45957.0,17548.0,19066.0,891.0,233.0,221.0,26.0,129.0,347.0,7496.0,Alameda,US Congressional 11,US Congressional,2001-10-02
258522.0,139040.0,60681.0,4619.0,2042.0,1358.0,464.0,747.0,2798.0,46773.0,Alameda,US Congressional 13,US Congressional,2001-10-02
385267.0,229498.0,60791.0,5741.0,12469.0,2012.0,1828.0,789.0,5891.0,66248.0,Alameda,State Senatorial 9,City,2001-10-02
283038.0,148247.0,72613.0,5161.0,1750.0,1446.0,497.0,874.0,2928.0,49522.0,Alameda,State Senatorial 10,City,2001-10-02
106075.0,65594.0,9637.0,1079.0,6589.0,711.0,353.0,203.0,1832.0,20077.0,Alameda,State Assembly 14,State Assembly,2001-10-02
43192.0,16622.0,17609.0,998.0,226.0,235.0,25.0,127.0,322.0,7028.0,Alameda,State Assembly 15,State Assembly,2001-10-02
193136.0,122648.0,23008.0,3027.0,5279.0,885.0,1259.0,310.0,3322.0,33398.0,Alameda,State Assembly 16,State Assembly,2001-10-02
180747.0,101222.0,43940.0,3293.0,1272.0,854.0,480.0,585.0,1865.0,27236.0,Alameda,State Assembly 18,State Assembly,2001-10-02
145155.0,71659.0,39210.0,2505.0,853.0,773.0,208.0,438.0,1478.0,28031.0,Alameda,State Assembly 20,State Assembly,2001-10-02
668305.0,377745.0,133404.0,10902.0,14219.0,3458.0,2325.0,1663.0,8819.0,115770.0,Alameda,State Board of Equalization 1,State Board of Equalization,2001-10-02
37647.0,19913.0,8644.0,652.0,696.0,234.0,53.0,70.0,444.0,6941.0,Alameda,Alameda,City,2001-10-02
9234.0,5857.0,993.0,90.0,467.0,56.0,17.0,31.0,111.0,1612.0,Alameda,Albany,City,2001-10-02
72002.0,44764.0,5226.0,707.0,4904.0,498.0,284.0,132.0,1364.0,14123.0,Alameda,Berkeley,City,2001-10-02
13355.0,5487.0,4942.0,272.0,71.0,77.0,15.0,52.0,106.0,2333.0,Alameda,Dublin,City,2001-10-02
3395.0,2016.0,382.0,51.0,144.0,29.0,7.0,5.0,56.0,705.0,Alameda,Emeryville,City,2001-10-02
81011.0,38199.0,22458.0,1410.0,518.0,469.0,94.0,244.0,848.0,16771.0,Alameda,Fremont,City,2001-10-02
47273.0,28449.0,9007.0,950.0,294.0,250.0,131.0,168.0,574.0,7450.0,Alameda,Hayward,City,2001-10-02
37476.0,14576.0,15103.0,879.0,197.0,210.0,23.0,107.0,284.0,6097.0,Alameda,Livermore,City,2001-10-02
16403.0,8811.0,3911.0,316.0,78.0,97.0,32.0,60.0,147.0,2951.0,Alameda,Newark,City,2001-10-02
185308.0,124111.0,16099.0,2763.0,5748.0,799.0,1404.0,301.0,3344.0,30739.0,Alameda,Oakland,City,2001-10-02
7290.0,3597.0,2376.0,62.0,116.0,18.0,6.0,8.0,52.0,1055.0,Alameda,Piedmont,City,2001-10-02
34624.0,12955.0,14875.0,643.0,157.0,152.0,15.0,83.0,251.0,5493.0,Alameda,Pleasanton,City,2001-10-02
