Total_Registered,Democratic,Republican,American_Independent,Green,Libertarian,Peace_and_Freedom,Other,No_Party_Preference,county,district,district_type,date
167195.0,71074.0,46308.0,3863.0,780.0,748.0,294.0,2813.0,41315.0,Alameda,County Supervisorial 1,County Supervisorial,2011-02-10
128329.0,71412.0,20086.0,2640.0,648.0,453.0,436.0,1947.0,30707.0,Alameda,County Supervisorial 2,County Supervisorial,2011-02-10
128604.0,74651.0,17415.0,2553.0,1486.0,540.0,523.0,2131.0,29305.0,Alameda,County Supervisorial 3,County Supervisorial,2011-02-10
140016.0,86837.0,20936.0,2666.0,1313.0,569.0,462.0,1936.0,25297.0,Alameda,County Supervisorial 4,County Supervisorial,2011-02-10
189740.0,123790.0,12829.0,2588.0,5284.0,808.0,873.0,3732.0,39836.0,Alameda,County Supervisorial 5,County Supervisorial,2011-02-10
348014.0,224421.0,31995.0,5429.0,7150.0,1409.0,1542.0,6070.0,69998.0,Alameda,US Congressional 9,US Congressional,2011-02-10
47858.0,19223.0,16555.0,1326.0,223.0,255.0,75.0,669.0,9532.0,Alameda,US Congressional 10,US Congressional,2011-02-10
58739.0,23513.0,18539.0,1423.0,222.0,288.0,87.0,1021.0,13646.0,Alameda,US Congressional 11,US Congressional,2011-02-10
299273.0,160607.0,50485.0,6132.0,1916.0,1166.0,884.0,4799.0,73284.0,Alameda,US Congressional 13,US Congressional,2011-02-10
425253.0,256350.0,55302.0,7425.0,7740.0,1816.0,1676.0,7352.0,87592.0,Alameda,State Senate 9,State Senate,2011-02-10
328631.0,171414.0,62272.0,6885.0,1771.0,1302.0,912.0,5207.0,78868.0,Alameda,State Senate 10,State Senate,2011-02-10
111131.0,72981.0,6670.0,1399.0,3373.0,507.0,448.0,2266.0,23487.0,Alameda,State Assembly 14,State Assembly,2011-02-10
53059.0,21222.0,18219.0,1466.0,245.0,278.0,80.0,755.0,10794.0,Alameda,State Assembly 15,State Assembly,2011-02-10
209673.0,133725.0,19939.0,3525.0,3742.0,793.0,1035.0,3591.0,43323.0,Alameda,State Assembly 16,State Assembly,2011-02-10
207243.0,115128.0,38851.0,4505.0,1277.0,862.0,634.0,3064.0,42922.0,Alameda,State Assembly 18,State Assembly,2011-02-10
172778.0,84708.0,33895.0,3415.0,874.0,678.0,391.0,2883.0,45934.0,Alameda,State Assembly 20,State Assembly,2011-02-10
