Total_Registered,Democratic,Republican,American_Independent,Americans_Elect,Green,Libertarian,Peace_and_Freedom,Other,No_Party_Preference,county,district,district_type,date
141787.0,61274.0,35923.0,3413.0,0.0,652.0,664.0,266.0,4543.0,35052.0,Alameda,County Supervisorial 1,County Supervisorial,2012-05-21
129831.0,71678.0,19677.0,2655.0,0.0,675.0,480.0,463.0,3914.0,30289.0,Alameda,County Supervisorial 2,County Supervisorial,2012-05-21
140318.0,82223.0,17668.0,2784.0,1.0,1605.0,560.0,606.0,4084.0,30787.0,Alameda,County Supervisorial 3,County Supervisorial,2012-05-21
160603.0,91815.0,29420.0,3098.0,2.0,1394.0,661.0,483.0,4238.0,29492.0,Alameda,County Supervisorial 4,County Supervisorial,2012-05-21
179792.0,116276.0,11685.0,2524.0,2.0,5083.0,767.0,892.0,6372.0,36191.0,Alameda,County Supervisorial 5,County Supervisorial,2012-05-21
373247.0,238327.0,32237.0,6023.0,3.0,7420.0,1451.0,1736.0,11682.0,74368.0,Alameda,US Congressional 13,US Congressional,2012-05-21
300149.0,148065.0,67326.0,6869.0,2.0,1619.0,1363.0,804.0,8830.0,65271.0,Alameda,US Congressional 15,US Congressional,2012-05-21
78935.0,36874.0,14810.0,1582.0,0.0,370.0,318.0,170.0,2639.0,22172.0,Alameda,US Congressional 17,US Congressional,2012-05-21
110353.0,43705.0,35875.0,2885.0,1.0,452.0,578.0,170.0,3413.0,23274.0,Alameda,State Senate 7,State Senate,2012-05-21
369568.0,236110.0,31756.0,5960.0,3.0,7401.0,1436.0,1721.0,11572.0,73609.0,Alameda,State Senate 9,State Senate,2012-05-21
272410.0,143451.0,46742.0,5629.0,1.0,1556.0,1118.0,819.0,8166.0,64928.0,Alameda,State Senate 10,State Senate,2012-05-21
151039.0,98018.0,10598.0,2015.0,2.0,4360.0,676.0,646.0,4996.0,29728.0,Alameda,State Assembly 15,State Assembly,2012-05-21
108885.0,43222.0,35283.0,2856.0,1.0,436.0,572.0,169.0,3375.0,22971.0,Alameda,State Assembly 16,State Assembly,2012-05-21
221607.0,139950.0,21576.0,3994.0,1.0,3057.0,772.0,1086.0,6669.0,44502.0,Alameda,State Assembly 18,State Assembly,2012-05-21
205486.0,111347.0,35150.0,4297.0,1.0,1253.0,851.0,659.0,5925.0,46003.0,Alameda,State Assembly 20,State Assembly,2012-05-21
65314.0,30729.0,11766.0,1312.0,0.0,303.0,261.0,150.0,2186.0,18607.0,Alameda,State Assembly 25,State Assembly,2012-05-21
752331.0,423266.0,114373.0,14474.0,5.0,9409.0,3132.0,2710.0,23151.0,161811.0,Alameda,State Board of Equalization 2,State Board of Equalization,2012-05-21
41869.0,22943.0,6453.0,906.0,1.0,549.0,205.0,134.0,1197.0,9481.0,Alameda,Alameda,City,2012-05-21
9933.0,6425.0,708.0,121.0,0.0,296.0,33.0,33.0,274.0,2043.0,Alameda,Albany,City,2012-05-21
73215.0,48273.0,3541.0,889.0,2.0,2403.0,337.0,369.0,2725.0,14676.0,Alameda,Berkeley,City,2012-05-21
20802.0,8883.0,5456.0,562.0,0.0,75.0,114.0,31.0,750.0,4931.0,Alameda,Dublin,City,2012-05-21
5395.0,3244.0,439.0,111.0,0.0,100.0,39.0,15.0,202.0,1245.0,Alameda,Emeryville,City,2012-05-21
94746.0,43747.0,17739.0,1899.0,0.0,470.0,375.0,208.0,3221.0,27087.0,Alameda,Fremont,City,2012-05-21
57309.0,33998.0,7944.0,1273.0,0.0,321.0,223.0,260.0,1649.0,11641.0,Alameda,Hayward,City,2012-05-21
46299.0,18416.0,15759.0,1317.0,0.0,206.0,253.0,76.0,1241.0,9031.0,Alameda,Livermore,City,2012-05-21
19160.0,10250.0,3374.0,424.0,0.0,88.0,82.0,53.0,535.0,4354.0,Alameda,Newark,City,2012-05-21
193798.0,128924.0,13454.0,2989.0,0.0,3751.0,668.0,1040.0,6132.0,36840.0,Alameda,Oakland,City,2012-05-21
8162.0,4562.0,1664.0,140.0,0.0,66.0,26.0,11.0,148.0,1545.0,Alameda,Piedmont,City,2012-05-21
40256.0,15461.0,13336.0,925.0,1.0,146.0,196.0,61.0,1355.0,8775.0,Alameda,Pleasanton,City,2012-05-21
40254.0,23589.0,5910.0,852.0,0.0,251.0,140.0,130.0,987.0,8395.0,Alameda,San Leandro,City,2012-05-21
30952.0,16883.0,4324.0,525.0,0.0,145.0,82.0,99.0,1011.0,7883.0,Alameda,Union City,City,2012-05-21
70181.0,37668.0,14272.0,1541.0,1.0,542.0,359.0,190.0,1724.0,13884.0,Alameda,Unincorporated Area,City,2012-05-21
141.0,56.0,49.0,8.0,0.0,2.0,0.0,0.0,1.0,25.0,Alpine,County Supervisorial 1,County Supervisorial,2012-05-21
147.0,64.0,45.0,1.0,0.0,2.0,0.0,1.0,0.0,34.0,Alpine,County Supervisorial 2,County Supervisorial,2012-05-21
