Total_Registered,Democratic,Republican,American_Independent,Green,Libertarian,Peace_and_Freedom,Unknown,Other,No_Party_Preference,county,district,district_type,date
156154.0,67735.0,32994.0,3908.0,490.0,1043.0,306.0,157.0,1195.0,48326.0,Alameda,County Supervisorial 1,County Supervisorial,2018-04-06
145843.0,80188.0,17529.0,2995.0,589.0,697.0,492.0,160.0,1007.0,42186.0,Alameda,County Supervisorial 2,County Supervisorial,2018-04-06
160825.0,95545.0,14889.0,3094.0,1288.0,785.0,595.0,207.0,1215.0,43207.0,Alameda,County Supervisorial 3,County Supervisorial,2018-04-06
179541.0,102832.0,25426.0,3618.0,1179.0,1003.0,515.0,204.0,1313.0,43451.0,Alameda,County Supervisorial 4,County Supervisorial,2018-04-06
204401.0,137839.0,8493.0,2975.0,3300.0,956.0,655.0,240.0,1484.0,48459.0,Alameda,County Supervisorial 5,County Supervisorial,2018-04-06
428672.0,279714.0,25204.0,6982.0,5221.0,1953.0,1499.0,538.0,3162.0,104399.0,Alameda,US Congressional 13,US Congressional,2018-04-06
333264.0,164318.0,61723.0,7936.0,1340.0,2116.0,875.0,330.0,2416.0,92210.0,Alameda,US Congressional 15,US Congressional,2018-04-06
84828.0,40107.0,12404.0,1672.0,285.0,415.0,189.0,100.0,636.0,29020.0,Alameda,US Congressional 17,US Congressional,2018-04-06
123058.0,49181.0,33963.0,3503.0,380.0,1003.0,190.0,117.0,946.0,33775.0,Alameda,State Senate 7,State Senate,2018-04-06
424723.0,277493.0,24779.0,6894.0,5196.0,1938.0,1481.0,534.0,3130.0,103278.0,Alameda,State Senate 9,State Senate,2018-04-06
298983.0,157465.0,40589.0,6193.0,1270.0,1543.0,892.0,317.0,2138.0,88576.0,Alameda,State Senate 10,State Senate,2018-04-06
165565.0,112601.0,7770.0,2293.0,2700.0,806.0,449.0,166.0,1091.0,37689.0,Alameda,State Assembly 15,State Assembly,2018-04-06
121575.0,48698.0,33423.0,3456.0,370.0,992.0,188.0,116.0,928.0,33404.0,Alameda,State Assembly 16,State Assembly,2018-04-06
262432.0,166732.0,17380.0,4674.0,2514.0,1142.0,1047.0,372.0,2068.0,66503.0,Alameda,State Assembly 18,State Assembly,2018-04-06
226518.0,122627.0,30748.0,4770.0,1025.0,1211.0,725.0,226.0,1604.0,63582.0,Alameda,State Assembly 20,State Assembly,2018-04-06
70674.0,33481.0,10010.0,1397.0,237.0,333.0,154.0,88.0,523.0,24451.0,Alameda,State Assembly 25,State Assembly,2018-04-06
846764.0,484139.0,99331.0,16590.0,6846.0,4484.0,2563.0,968.0,6214.0,225629.0,Alameda,State Board of Equalization 2,State Board of Equalization,2018-04-06
46862.0,26926.0,5537.0,960.0,392.0,305.0,108.0,65.0,326.0,12243.0,Alameda,Alameda,City,2018-04-06
10898.0,7331.0,553.0,125.0,190.0,40.0,16.0,6.0,62.0,2575.0,Alameda,Albany,City,2018-04-06
78124.0,54084.0,2467.0,982.0,1474.0,377.0,250.0,69.0,495.0,17926.0,Alameda,Berkeley,City,2018-04-06
26638.0,11523.0,5223.0,669.0,67.0,201.0,53.0,27.0,204.0,8671.0,Alameda,Dublin,City,2018-04-06
